10 15 1
9 19 1
4 19 1
7 12 0
11 10 0
7 17 1
1 2 1
8 14 1
14 8 0
2 12 1
7 16 1
19 16 0
17 15 0
15 15 0
15 4 1
3 20 1
1 12 1
13 20 1
15 15 0
12 18 1
19 14 0
16 7 0
19 8 0
0 12 1
10 6 1
20 4 1
18 4 1
5 9 0
14 11 0
9 19 1
9 3 1
4 18 1
18 15 0
8 15 1
19 14 0
12 2 1
1 17 1
18 18 1
2 8 0
20 19 1
15 1 1
3 1 1
13 12 0
0 11 1
7 12 0
3 8 0
20 17 0
13 0 1
10 12 0
3 9 0
18 10 0
1 10 1
11 14 0
16 3 1
7 1 1
5 6 1
1 20 1
17 12 0
16 11 0
13 11 0
1 11 1
8 5 1
3 11 1
3 9 0
14 16 1
11 10 0
1 8 0
4 17 1
11 18 1
9 10 0
4 2 1
11 10 0
13 7 0
1 8 0
14 5 1
11 3 1
1 0 1
14 14 0
17 11 0
10 8 0
6 20 1
12 5 1
17 5 1
20 5 1
2 11 1
6 4 1
9 9 0
8 9 0
1 15 1
12 2 1
13 1 1
7 16 1
6 20 1
4 7 0
1 6 1
19 3 1
1 18 1
9 0 1
1 1 1
14 2 1
5 11 0
14 20 1
19 12 0
2 14 1
17 3 1
0 16 1
14 9 0
7 17 1
2 19 1
17 19 1
18 18 1
14 19 1
18 8 0
14 4 1
10 9 0
6 20 1
15 15 0
16 13 0
20 11 0
4 1 1
13 6 0
10 5 1
16 18 1
0 5 1
6 13 1
11 0 1
4 20 1
18 0 1
17 2 1
18 14 0
15 2 1
17 2 1
5 8 0
15 9 0
10 11 0
12 7 0
2 2 1
11 2 1
0 9 1
3 20 1
1 18 1
1 5 1
12 2 1
12 7 0
13 4 1
2 9 0
11 4 1
20 2 1
16 2 1
10 14 1
9 8 0
18 19 1
4 16 1
7 18 1
15 2 1
8 7 0
12 20 1
12 0 1
19 8 0
11 14 0
9 5 1
10 14 1
20 6 0
12 0 1
15 17 1
4 7 0
5 11 0
2 12 1
18 12 0
12 4 1
10 18 1
14 2 1
6 12 1
8 17 1
10 17 1
8 14 1
8 15 1
1 7 0
9 12 0
5 12 1
1 14 1
16 8 0
19 19 1
16 19 1
15 19 1
0 18 1
2 1 1
18 2 1
3 11 1
3 16 1
10 6 1
19 19 1
16 5 1
5 7 0
20 9 0
14 0 1
2 2 1
8 3 1
18 13 0
3 4 1
